All traffic signals,,,,,,,,,,,Location,Latitude,,,,,,,,,,
PX,GUNNS RD,Mid Block,Side 1,Side 2,Private Access,Additional Info,Geo ID,Node ID,X,Y,Latitude,Longitude,Activation Date,Signal System,Non system,Mode of Control,Pedestrian Walk speed,APS,Transit Preempt,Fire preempt,Rail preempt,No. of Signalized Approaches
24,CHURCH ST,,WELLESLEY ST E,,,,7731514,13464212,314384.51,4835982.3,43.6657034,-79.380928,00:00.0,SCOOT,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
25,BLOOR ST E,,CHURCH ST,,,,6522404,13463285,314206.16,4836573.5,43.6710224,-79.383123,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
26,ADELAIDE ST E,,VICTORIA ST,,,,14036811,13466609,314683.92,4834312.19,43.6506539,-79.377248,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
27,VICTORIA ST,,RICHMOND ST E,,,,6624518,13466399,314644.8257,4834454.111,43.6519522,-79.377756,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
28,QUEEN ST E,,VICTORIA ST,,,,11272989,13466287,314617.86,4834533.9,43.6526703,-79.378066,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
29,YONGE ST,,FRONT ST,,,,1146204,13467239,314708.97,4833889.98,43.646846,-79.376931,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
30,YONGE ST,,WELLINGTON ST,,,,14025299,13467080,314676.846,4833996.745,43.6478484,-79.377351,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
31,YONGE ST,,KING ST,,,,8677261,13466851,314632.4271,4834141.385,43.6491624,-79.377904,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
32,YONGE ST,,ADELAIDE ST,,,,14036810,13466653,314587.716,4834281.153,43.650419,-79.378436,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
33,YONGE ST,,RICHMOND ST,,,,8676918,13466444,314545.9982,4834423.808,43.651697,-79.378965,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
34,YONGE ST,,QUEEN ST,,,,11226820,13466322,314523.728,4834506.857,43.6524209,-79.379276,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
35,YONGE ST,,SHUTER ST,,PARKING GARAGE,,7762738,13466083,314465.842,4834687.108,43.654066,-79.379957,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
36,YONGE ST,,DUNDAS ST,,,,7762832,13465714,314388.69,4834938.73,43.656326,-79.380912,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
37,YONGE ST,,GERRARD ST,,,,7730086,13465263,314292.14,4835246.02,43.6590897,-79.382096,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
38,YONGE ST,,CARLTON ST,COLLEGE ST,,,7754955,13464913,314211.688,4835498.788,43.6613687,-79.383094,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
39,YONGE ST,,WELLESLEY ST,,,,1143164,13464342,314091.34,4835894.66,43.6649351,-79.384558,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
40,BLOOR ST,,YONGE ST,,,,10759265,13463436,313913.75,4836482.04,43.670229,-79.386767,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
41,YONGE ST,,CHURCH ST,DAVENPORT RD,,,8677192,13463015,313826.41,4836776,43.672879,-79.387845,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
42,YONGE ST,,AYLMER AVE,BELMONT ST,,,8680055,13462557,313735.66,4837077.5,43.6756028,-79.38895,00:00.0,MTSS,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
43,YONGE ST,,CRESCENT RD,,,,1140959,13462319,313691.53,4837230,43.6769762,-79.389534,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
44,YONGE ST,,MACPHERSON AVE,ROWANWOOD AVE,,,10759182,13461921,313618.59,4837472.5,43.6791392,-79.390424,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
45,YONGE ST,,SHAFTESBURY AVE,ALCORN AVE,,,8681095,13461419,313527.66,4837786.5,43.6820226,-79.391574,00:00.0,MTSS,,SAP,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
46,YONGE ST,,ST CLAIR AVE,,,,8741191,13460295,313318.22,4838465,43.688075,-79.394098,00:00.0,MTSS,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
47,YONGE ST,,CHAPLIN CRES,DAVISVILLE AVE,,,7273833,13458407,313115.19,4839600,43.6982977,-79.396601,00:00.0,MTSS,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
48,YONGE ST,,MANOR RD,,,,7274839,13457785,313045.059,4840067.784,43.702508,-79.397458,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
49,YONGE ST,,EGLINTON AVE,,,,14230407,13457078,312975.13,4840536.5,43.7067501,-79.398311,00:00.0,MTSS,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
50,YONGE ST,,BROADWAY AVE,MONTGOMERY AVE,,,8535805,13456650,312923.876,4840853.272,43.709554,-79.398943,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,1,,4
51,YONGE ST,,CASTLEFIELD AVE,,,,8540403,13456266,312884.98,4841103.75,43.7118551,-79.399437,00:00.0,MTSS,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
52,YONGE ST,,BLYTHWOOD RD,LYTTON BLVD,,,8566211,13455496,312804.855,4841620.923,43.716605,-79.400452,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
53,YONGE ST,,GLENGROVE AVE,,,,8566492,13455032,312749.76,4841959.94,43.7195544,-79.40109,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
54,YONGE ST,,CHATSWORTH DR,ST EDMUNDS DR,,,10154588,13454680,312712.92,4842229.06,43.721971,-79.401557,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
55,YONGE ST,,LAWRENCE AVE,,,,10133844,13454250,312664.095,4842576.966,43.7251031,-79.402193,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
56,YONGE ST,,RANLEIGH AVE,,,,7847768,13453893,312603.51,4842880.49,43.7278642,-79.40293,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
57,YONGE ST,,FAIRLAWN AVE,,,,14036751,13453356,312540.891,4843217.292,43.730913,-79.403788,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
58,YONGE ST,,YONGE BLVD,PRIVATE ACCESS,,,3440737,13452847,312471.3763,4843605.368,43.7343677,-79.404585,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
59,BAY ST,,FRONT ST W,,,,10864309,13467389,314534.82,4833789.98,43.645996,-79.379115,00:00.0,MTSS,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
60,BAY ST,,WELLINGTON ST W,,,,10224288,13467163,314486.66,4833939.64,43.647345,-79.379702,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
61,BAY ST,,KING ST W,,,,8087327,13466960,314442.1,4834085.77,43.648653,-79.380268,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
62,BAY ST,,ADELAIDE ST W,,,,14025268,13466743,314399.04,4834223.7,43.649876,-79.380823,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
63,BAY ST,,RICHMOND ST W,,,,8067832,13466536,314356.61,4834365.561,43.6512244,-79.381452,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
64,BAY ST,,QUEEN ST W,,,,1145090,13466418,314325.477,4834445.907,43.65189,-79.381698,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
65,BAY ST,,ALBERT ST,,,,1145054,13466250,314250.84,4834565.42,43.6529652,-79.382631,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
66,DUNDAS ST W,,BAY ST,,,,10906585,13465822,314159.73,4834870.32,43.655721,-79.383734,00:00.0,MTSS,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,1,,,4
67,BAY ST,,GERRARD ST W,,,,2854201,13465361,314068.32,4835180.68,43.658496,-79.384865,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
68,BAY ST,,COLLEGE ST,,,,7792579,13464999,313990.43,4835436.64,43.6608138,-79.385857,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
69,BAY ST,,WELLESLEY ST W,,,,7754627,13464427,313882.731,4835831.112,43.664366,-79.387151,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
70,BAY ST,,BLOOR ST W,,,,8408346,13463548,313694.52,4836419.79,43.669701,-79.389468,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
71,YORK ST,,WELLINGTON ST W,,,,7929299,13467303,314220.5304,4833858.193,43.6466383,-79.383007,00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,2
72,KING ST W,,YORK ST,,,,7930910,13467083,314176.04,4834004.7,43.6479338,-79.383531,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,3
73,YORK ST,,ADELAIDE ST W,,,,7929403,13466858,314132.933,4834145.031,43.649196,-79.384074,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,2
74,YORK ST,,RICHMOND ST W,,,,14025283,13466666,314089.1337,4834284.155,43.6505005,-79.38462,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,2
75,UNIVERSITY AVE,,YORK ST,FRONT ST W,,,14037155,13467506,314265.8,4833712.4,43.645291,-79.382476,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
76,UNIVERSITY AVE,,WELLINGTON ST W,,,,3065748,13467345,314134.216,4833833.473,43.6464054,-79.384076,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
77,UNIVERSITY AVE,,KING ST W,,,,1145856,13467123,314076.987,4833975.423,43.6476553,-79.384788,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
78,UNIVERSITY AVE,,ADELAIDE ST W,,,,7929431,13466931,314016.35,4834109.42,43.648857,-79.38548,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
79,UNIVERSITY AVE,,RICHMOND ST W,,,,1145433,13466730,313956.8773,4834244.655,43.6501396,-79.38624,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
80,UNIVERSITY AVE,,QUEEN ST W,,,,1145286,13466604,313929.489,4834329.874,43.650827,-79.386628,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
81,UNIVERSITY AVE,,DUNDAS ST W,,,,1144662,13465980,313792.98,4834766.95,43.654812,-79.388484,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
82,UNIVERSITY AVE,,ELM ST,,,,12601293,13465733,313740.029,4834939.944,43.656323,-79.388959,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
83,UNIVERSITY AVE,,COLLEGE ST,,,,6345158,13465166,313616.3357,4835329.833,43.6598474,-79.39049,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
84,QUEENS PARK CRES E,,WELLESLEY ST W,,,,8128875,13464585,313603.37,4835743.66,43.6636098,-79.390626,00:00.0,SCOOT,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,3
85,QUEENS PARK CRES E,125m NORTH OF,ST JOSEPH ST,,VICTORIA COLLEGE ACCESS,,30030179,30030178,313503.451,4836002.978,43.6659353,-79.391879,00:00.0,SCOOT,,PED,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,1
86,AVENUE RD,,BLOOR ST W,,,,1142361,13463747,313320.93,4836313.86,43.668685,-79.394119,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
87,EGLINTON AVE E,,BRENTCLIFFE RD,,,,8676925,13455720,316079.705,4841415.487,43.7145838,-79.359791,00:00.0,TransSuite,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
88,EGLINTON AVE E,,LAIRD DR,,,,11816845,13455899,315678.88,4841299.5,43.713573,-79.364752,00:00.0,MTSS,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",1,1,,,4
89,EGLINTON AVE E,,RUMSEY RD,,,,304,13456085,315287.6492,4841188.669,43.7125627,-79.369606,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
90,EGLINTON AVE E,,BAYVIEW AVE,,,,1138170,13456348,314683.63,4841017,43.711056,-79.377114,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
91,EGLINTON AVE E,,BANFF RD,,,,9035659,13456522,314273.59,4840903.5,43.7100093,-79.382221,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
92,MOUNT PLEASANT RD,,EGLINTON AVE E,,,,9035888,13456819,313633.2813,4840723.5,43.7084166,-79.390153,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
93,EGLINTON AVE E,,REDPATH AVE,,,,1138280,13456902,313422.03,4840662.5,43.7078669,-79.39279,00:00.0,Awaiting TransSuite Control,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
94,EGLINTON AVE W,,DUPLEX AVE,,,,11901981,13457135,312820.78,4840494,43.7063458,-79.400252,00:00.0,MTSS,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,1,,,4
95,EGLINTON AVE W,,ORIOLE PKWY,,,,8206114,13457359,312349.41,4840355,43.7051068,-79.406125,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
96,AVENUE RD,,EGLINTON AVE W,,,,8205774,13457449,312157.41,4840298.5,43.7046104,-79.408474,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
97,EGLINTON AVE W,,HEDDINGTON AVE,,,,8168653,13457668,311724.94,4840173,43.7034761,-79.41388,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
98,EGLINTON AVE W,,CHAPLIN CRES,,,,8166392,13457799,311443.2989,4840089.02,43.7027131,-79.417444,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,1,,4
99,EGLINTON AVE W,,SPADINA RD,,,,8141100,13457863,311303.993,4840048.003,43.7023611,-79.419081,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,1,,3
100,BATHURST ST,,EGLINTON AVE W,,,,12313155,13458084,310783.8214,4839896.526,43.7009757,-79.425534,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
101,EGLINTON AVE W,,GLEN CEDAR RD,OLD PARK RD,,,8594649,13458244,310353.3,4839769.37,43.6998248,-79.430961,00:00.0,MTSS,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
102,EGLINTON AVE W,,MARLEE AVE,,,,10663385,13458567,309669.6,4839567.6,43.698048,-79.439379,00:00.0,MTSS,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,3
103,EGLINTON AVE W,,OAKWOOD AVE,,,,10663483,13458706,309395.363,4839485.412,43.6972932,-79.442789,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,1,,3
104,EGLINTON AVE W,,NORTHCLIFFE BLVD,,,,8649755,13458928,309001.1,4839369.22,43.696242,-79.447688,00:00.0,MTSS,,SAP,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,3
105,DUFFERIN ST,,EGLINTON AVE W,,,,8432383,13459036,308792.0298,4839306.117,43.695684,-79.450293,00:00.0,MTSS,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
106,EGLINTON AVE W,,ENNERDALE RD,,,,8432020,13459187,308532.64,4839226.74,43.694985,-79.453476,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
107,AVENUE RD,30m NORTH OF,ELGIN AVE,,HAZELTON LANES,,7979671,0,313205.53,4836702.5,43.672136,-79.395624,00:00.0,SCOOT,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
108,AVENUE RD,,DAVENPORT RD,,,,1141417,13462724,313121.39,4836980.69,43.674705,-79.396651,00:00.0,SCOOT,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
109,AVENUE RD,,DUPONT ST,,,,1140902,13462302,313038.74,4837255.86,43.67719,-79.397579,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
110,AVENUE RD,,COTTINGHAM ST,,,SOUTH INTERSECTION,1140422,13461870,312962.934,4837517.026,43.6795475,-79.39855,00:00.0,SCOOT,,SAP,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,3
111,AVENUE RD,,BALMORAL AVE,,,,1139828,13461005,312803.4851,4838045.349,43.6843241,-79.400495,00:00.0,SCOOT,,SAP,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
112,ST CLAIR AVE W,,AVENUE RD,,,,1139581,13460576,312725.61,4838304.05,43.686624,-79.401479,00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
113,AVENUE RD,,LONSDALE RD,ORIOLE PKWY,,,7254155,13459836,312602.37,4838764.02,43.690773,-79.403027,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
114,ORIOLE PKWY,,GORMLEY AVE,,,,1139059,13459295,312692.46,4839091.31,43.6937297,-79.401852,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
115,ORIOLE PKWY,,CHAPLIN CRES,,,,13497196,13458486,312576.93,4839557.81,43.6978798,-79.403231,00:00.0,MTSS,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
116,AVENUE RD,,CHAPLIN CRES,,,,1138872,13458353,312348.3,4839652.12,43.698761,-79.406076,00:00.0,SCOOT,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
117,AVENUE RD,,ST CLEMENTS AVE,,,,4030552,13456543,311945.91,4840935,43.710333,-79.411119,00:00.0,SCOOT,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
118,AVENUE RD,,GLENGROVE AVE W,,,,8322761,13455466,311756.53,4841669,43.71696,-79.413444,00:00.0,SCOOT,,SA2,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
119,AVENUE RD,,LAWRENCE AVE W,,,,444568,13454662,311583.75,4842259.5,43.7222401,-79.415589,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
120,AVENUE RD,,FAIRLAWN AVE,,,,444081,13453915,311398.03,4842886.5,43.7279,-79.417894,00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
121,AVENUE RD,,BROOKE AVE,,,,10923887,13453045,311269.09,4843480,43.7332,-79.41951,00:00.0,SCOOT,,SA2,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
122,AVENUE RD,,DUNBLAINE AVE,,,,443111,13452638,311220.22,4843777.5,43.7359103,-79.4201,00:00.0,SCOOT,,SA2,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
123,AVENUE RD,,WILSON AVE,,,,442716,13452017,311095.43,4844216.01,43.7398627,-79.421636,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
124,YONGE ST,,YORK MILLS RD,WILSON AVE,,,442021,13451297,312296.81,4844692.53,43.744121,-79.406724,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
125,YONGE ST,,SHEPPARD AVE,,,,9065947,13448689,311955.49,4846620.65,43.7615144,-79.410903,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
126,YONGE ST,,EMPRESS AVE,PARK HOME AVE,,,7131365,13447597,311796.24,4847483.2,43.7692945,-79.412931,00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
127,YONGE ST,,CHURCH AVE,CHURCHILL AVE,,,438495,13446936,311705.07,4847983.49,43.773798,-79.414034,00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,1,,4
128,YONGE ST,,FINCH AVE,,,,9011793,13446142,311579.857,4848648.953,43.77979,-79.41556,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
129,YONGE ST,,CUMMER AVE,DREWRY AVE,,,7172010,13445250,311436.34,4849459.81,43.7870804,-79.417327,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
